organization,employer_type,job_title,job_area,location,location_area,closing_date,closing_time,contract_type,work_pattern,salary,apply_url,job_reference,date_checked,source_url
Nottinghamshire County Council,Council,Team Manager - Children with Disabilities Team,Management & Leadership,"Meadow House, Mansfield",Mansfield,2026-09-28,,Other,Not stated,,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-1/brand-8/candidate/so/pm/4/pl/1/opp/31143-Team-Manager-Children-with-Disabilities-Team/en-GB,31143,2026-09-21,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-ext/brand-8/candidate/jobboard/vacancy/1/adv/
Nottinghamshire County Council,Council,Appointee Officer,Administration & Business Support,"Trent Bridge House, West Bridgford",Rushcliffe,2026-09-29,,Other,Not stated,,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-1/brand-8/candidate/so/pm/1/pl/5/opp/31118-Appointee-Officer/en-GB,31118,2026-09-21,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-ext/brand-8/candidate/jobboard/vacancy/1/adv/
Nottinghamshire County Council,Council,Team Leader,Management & Leadership,"Holles Street Short Breaks, Worksop",Bassetlaw,2026-09-29,,Other,Not stated,,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-1/brand-8/candidate/so/pm/4/pl/1/opp/31038-Team-Leader/en-GB,31038,2026-09-21,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-ext/brand-8/candidate/jobboard/vacancy/1/adv/
Nottinghamshire County Council,Council,Domestic,"Property, Facilities & Operations","Helmsley Road Short Breaks, Rainworth, NG21 0DQ",Newark & Sherwood,2026-10-01,,Other,Not stated,,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-1/brand-8/candidate/so/pm/4/pl/1/opp/31039-Domestic/en-GB,31039,2026-09-21,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-ext/brand-8/candidate/jobboard/vacancy/1/adv/
Nottinghamshire County Council,Council,Night Care Worker,Care & Support,"Helmsley Road Short Breaks, Rainworth, NG21 0DQ",Newark & Sherwood,2026-10-01,,Other,Not stated,,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-1/brand-8/candidate/so/pm/4/pl/1/opp/31041-Night-Care-Worker/en-GB,31041,2026-09-21,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-ext/brand-8/candidate/jobboard/vacancy/1/adv/
Nottinghamshire County Council,Council,Place Planning Officer (SEND),Children & Young People,"County Hall, West Bridgford",Rushcliffe,2026-10-01,,Other,Not stated,,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-1/brand-8/candidate/so/pm/4/pl/1/opp/31110-Place-Planning-Officer-SEND/en-GB,31110,2026-09-21,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-ext/brand-8/candidate/jobboard/vacancy/1/adv/
Nottinghamshire County Council,Council,Social Worker,Care & Support,"Meadow House, Mansfield, NG18 2TB",Mansfield,2026-10-01,,Other,Not stated,,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-1/brand-8/candidate/so/pm/4/pl/1/opp/31135-Social-Worker/en-GB,31135,2026-09-21,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-ext/brand-8/candidate/jobboard/vacancy/1/adv/
Nottinghamshire County Council,Council,Early Years Development Worker,Children & Young People,"Mansfield Central Library, Mansfield",Mansfield,2026-10-02,,Other,Not stated,,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-1/brand-8/candidate/so/pm/4/pl/1/opp/31140-Early-Years-Development-Worker/en-GB,31140,2026-09-21,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-ext/brand-8/candidate/jobboard/vacancy/1/adv/
Nottinghamshire County Council,Council,Advanced Social Work Practitioner,Care & Support,"Meadow House, Mansfield",Mansfield,2026-10-04,,Other,Not stated,,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-1/brand-8/candidate/so/pm/1/pl/5/opp/31154-Advanced-Social-Work-Practitioner/en-GB,31154,2026-09-21,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-ext/brand-8/candidate/jobboard/vacancy/1/adv/
Nottinghamshire County Council,Council,Community Care Officer,Care & Support,"Mansfield Community Hospital; covering Mansfield, Ashfield and Newark areas",Multiple Nottinghamshire locations,2026-10-04,,Other,Not stated,,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-1/brand-8/candidate/so/pm/4/pl/1/opp/31058-Community-Care-Officer/en-GB,31058,2026-09-21,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-ext/brand-8/candidate/jobboard/vacancy/1/adv/
Nottinghamshire County Council,Council,Community Care Officer,Care & Support,"County Hall, West Bridgford",Rushcliffe,2026-10-04,,Other,Not stated,,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-1/brand-8/candidate/so/pm/1/pl/5/opp/31153-Community-Care-Officer/en-GB,31153,2026-09-21,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-ext/brand-8/candidate/jobboard/vacancy/1/adv/
Nottinghamshire County Council,Council,Early Years Practitioner,Children & Young People,"Bingham Family Hub, Bingham, NG13 8BE",Rushcliffe,2026-10-04,,Other,Not stated,,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-1/brand-8/candidate/so/pm/4/pl/1/opp/31117-Early-Years-Practitioner/en-GB,31117,2026-09-21,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-ext/brand-8/candidate/jobboard/vacancy/1/adv/
Nottinghamshire County Council,Council,Educational Audiologist / Teacher of the Deaf,Education & Training,"Home Brewery, Arnold",Gedling,2026-10-04,,Other,Not stated,,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-1/brand-8/candidate/so/pm/1/pl/5/opp/31114-Educational-Audiologist-Teacher-of-the-Deaf/en-GB,31114,2026-09-21,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-ext/brand-8/candidate/jobboard/vacancy/1/adv/
Nottinghamshire County Council,Council,Night Care Worker,Care & Support,"Wynhill Lodge Short Breaks, Bingham, NG13 8TE",Rushcliffe,2026-10-04,,Other,Not stated,,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-1/brand-8/candidate/so/pm/4/pl/1/opp/31042-Night-Care-Worker/en-GB,31042,2026-09-21,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-ext/brand-8/candidate/jobboard/vacancy/1/adv/
Nottinghamshire County Council,Council,Senior Appointee Officer,Administration & Business Support,"Trent Bridge House, West Bridgford, NG2 6BJ",Rushcliffe,2026-10-04,,Other,Not stated,,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-1/brand-8/candidate/so/pm/1/pl/5/opp/31119-Senior-Appointee-Officer/en-GB,31119,2026-09-21,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-ext/brand-8/candidate/jobboard/vacancy/1/adv/
Nottinghamshire County Council,Council,Senior Night Care Worker,Care & Support,"Wynhill Lodge Short Breaks, Bingham, NG13 8TE",Rushcliffe,2026-10-04,,Other,Not stated,,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-1/brand-8/candidate/so/pm/4/pl/1/opp/31047-Senior-Night-Care-Worker/en-GB,31047,2026-09-21,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-ext/brand-8/candidate/jobboard/vacancy/1/adv/
Nottinghamshire County Council,Council,Senior Public Health and Communities Manager,Management & Leadership,"County Hall, West Bridgford",Rushcliffe,2026-10-04,,Other,Not stated,,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-1/brand-8/candidate/so/pm/1/pl/5/opp/31121-Senior-Public-Health-and-Communities-Manager/en-GB,31121,2026-09-21,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-ext/brand-8/candidate/jobboard/vacancy/1/adv/
Nottinghamshire County Council,Council,Social Worker,Care & Support,"Meadow House, Mansfield",Mansfield,2026-10-04,,Other,Not stated,,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-1/brand-8/candidate/so/pm/1/pl/5/opp/31142-Social-Worker/en-GB,31142,2026-09-21,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-ext/brand-8/candidate/jobboard/vacancy/1/adv/
Nottinghamshire County Council,Council,Specialist Educational Psychologist - Strategic Lead Neuro-affirming Practice,Education & Training,"Meadow House, Mansfield",Mansfield,2026-10-04,,Other,Not stated,,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-1/brand-8/candidate/so/pm/4/pl/1/opp/31090-Specialist-Educational-Psychologist-Strategic-Lead-Neuro-affirming-Practice/en-GB,31090,2026-09-21,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-ext/brand-8/candidate/jobboard/vacancy/1/adv/
Nottinghamshire County Council,Council,Specialist Educational Psychologist - Strategic Lead SEMH,Education & Training,"Meadow House, Mansfield",Mansfield,2026-10-04,,Other,Not stated,,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-1/brand-8/candidate/so/pm/1/pl/5/opp/31091-Specialist-Educational-Psychologist-Strategic-Lead-SEMH/en-GB,31091,2026-09-21,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-ext/brand-8/candidate/jobboard/vacancy/1/adv/
Nottinghamshire County Council,Council,Specialist Educational Psychologist - Transitions,Education & Training,"Meadow House, Mansfield",Mansfield,2026-10-04,,Other,Not stated,,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-1/brand-8/candidate/so/pm/4/pl/1/opp/31092-Specialist-Educational-Psychologist-Transitions/en-GB,31092,2026-09-21,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-ext/brand-8/candidate/jobboard/vacancy/1/adv/
Nottinghamshire County Council,Council,Advanced Social Work Practitioner,Care & Support,"Middle Street Resource Centre, Beeston, NG9 2AR",Broxtowe,2026-10-08,,Other,Not stated,,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-1/brand-8/candidate/so/pm/1/pl/5/opp/31123-Advanced-Social-Work-Practitioner/en-GB,31123,2026-09-21,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-ext/brand-8/candidate/jobboard/vacancy/1/adv/
Nottinghamshire County Council,Council,Outreach SEND Teacher,Education & Training,Various Nottinghamshire locations,Nottinghamshire-wide,2026-10-09,,Other,Not stated,,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-1/brand-8/candidate/so/pm/4/pl/1/opp/31098-Outreach-SEND-Teacher/en-GB,31098,2026-09-21,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-ext/brand-8/candidate/jobboard/vacancy/1/adv/
Nottinghamshire County Council,Council,Approved Mental Health Professional (AMHP),Health & Clinical,"Sherwood Oaks Hospital, Mansfield, NG18 4GW",Mansfield,2026-10-25,,Other,Not stated,,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-1/brand-8/candidate/so/pm/1/pl/5/opp/31141-Approved-Mental-Health-Professional-AMHP/en-GB,31141,2026-09-21,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-ext/brand-8/candidate/jobboard/vacancy/1/adv/
Nottinghamshire County Council,Council,Youth Support Worker,Children & Young People,Various locations across Nottinghamshire,Nottinghamshire-wide,2026-12-08,,Other,Not stated,,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-1/brand-8/candidate/so/pm/4/pl/1/opp/30363-Youth-Support-Worker/en-GB,30363,2026-09-21,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-ext/brand-8/candidate/jobboard/vacancy/1/adv/
Nottinghamshire Healthcare NHS Foundation Trust,NHS,Community Hub Service Advisor,Customer Service,"Lings Bar Hospital, Gamston",Rushcliffe,2026-09-23,23:59,Fixed-term,Part-time,"£28,392 - £31,157 per annum (pro rata for part time)",https://www.healthjobsuk.com/job/UK/Nottinghamshire/Gamston_Nottingham/Nottinghamshire_Healthcare_NHS_Foundation_Trust/Service_Advisor_call_handling_care_navigation_referral_processing/Service_Advisor_call_handling_care_navigation_referral_processing-v8219701,186-783-26-GH,2026-09-21,https://www.healthjobsuk.com/job/UK/Nottinghamshire/Gamston_Nottingham/Nottinghamshire_Healthcare_NHS_Foundation_Trust/Service_Advisor_call_handling_care_navigation_referral_processing/Service_Advisor_call_handling_care_navigation_referral_processing-v8219701
Nottinghamshire Healthcare NHS Foundation Trust,NHS,Employment Specialist,Other,"Gedling Local Mental Health Team - Manor Road, Carlton",Gedling,2026-09-24,23:59,Permanent,Full-time,"£32,073 - £39,043 per annum",https://www.healthjobsuk.com/job/UK/Nottinghamshire/Carlton_Nottingham/Nottinghamshire_Healthcare_NHS_Foundation_Trust/Employment_Specialist/Employment_Specialist-v8199185,186-786-26-MH,2026-09-21,https://www.healthjobsuk.com/job/UK/Nottinghamshire/Carlton_Nottingham/Nottinghamshire_Healthcare_NHS_Foundation_Trust/Employment_Specialist/Employment_Specialist-v8199185
Nottinghamshire Healthcare NHS Foundation Trust,NHS,MHST CBT Therapist,Health & Clinical,"Lindsey Close, Mansfield",Mansfield,2026-09-24,23:59,Permanent,Full-time or Part-time,"£49,387 - £56,515 per annum",https://www.healthjobsuk.com/job/UK/Nottinghamshire/Nottingham/Nottinghamshire_Healthcare_NHS_Foundation_Trust/CAMHS/CAMHS-v8219740,186-795-26-MH,2026-09-21,https://www.healthjobsuk.com/job/UK/Nottinghamshire/Nottingham/Nottinghamshire_Healthcare_NHS_Foundation_Trust/CAMHS/CAMHS-v8219740
Nottinghamshire Healthcare NHS Foundation Trust,NHS,MHST Education Mental Health Practitioner,Health & Clinical,"Lindsey Close, Mansfield",Mansfield,2026-09-27,23:59,Permanent,Full-time or Part-time,"£32,073 - £39,043 per annum (pro rata for part time)",https://www.healthjobsuk.com/job/UK/Nottinghamshire/Mansfield/Nottinghamshire_Healthcare_NHS_Foundation_Trust/CAMHS/CAMHS-v8219721,186-791-26-GH,2026-09-21,https://www.healthjobsuk.com/job/UK/Nottinghamshire/Mansfield/Nottinghamshire_Healthcare_NHS_Foundation_Trust/CAMHS/CAMHS-v8219721
Nottinghamshire Healthcare NHS Foundation Trust,NHS,Nursing Associate,Health & Clinical,"Park House, Carlton",Gedling,2026-09-27,23:59,Permanent,Full-time,"£28,392 - £31,157 per annum (pro rata for part time)",https://www.healthjobsuk.com/job/UK/Nottinghamshire/Carlton/Nottinghamshire_Healthcare_NHS_Foundation_Trust/Community_Nursing/Community_Nursing-v8193928,186-797-26-GH,2026-09-21,https://www.healthjobsuk.com/job/UK/Nottinghamshire/Carlton/Nottinghamshire_Healthcare_NHS_Foundation_Trust/Community_Nursing/Community_Nursing-v8193928
Nottinghamshire Healthcare NHS Foundation Trust,NHS,Physical Healthcare Lead/Non-Medical Prescriber,Health & Clinical,"Clayfields House Secure Unit, Stapleford, NG9 8GU",Broxtowe,2026-09-27,23:59,Permanent,Part-time,"£49,387 - £56,515",https://www.healthjobsuk.com/job/-v8233423,186-790-26-FS,2026-09-21,https://www.healthjobsuk.com/job/-v8233423
Nottinghamshire Healthcare NHS Foundation Trust,NHS,Mental Health Practitioner/Community Mental Health Nurse,Health & Clinical,"City East LMHT, Nottingham",Nottingham,2026-09-29,23:59,Permanent,Full-time,"£39,959 - £48,117 per annum (pro rata for part time)",https://www.healthjobsuk.com/job/UK/Nottinghamshire/Nottingham/Nottinghamshire_Healthcare_NHS_Foundation_Trust/Mental_Health/Mental_Health-v8237239,186-798-26-MH,2026-09-21,https://www.healthjobsuk.com/job/UK/Nottinghamshire/Nottingham/Nottinghamshire_Healthcare_NHS_Foundation_Trust/Mental_Health/Mental_Health-v8237239
Nottinghamshire Healthcare NHS Foundation Trust,NHS,Carer and Patient Experience Worker,Care & Support,"Rampton Hospital, Nr Retford",Bassetlaw,2026-10-04,23:59,Permanent,Full-time,"£25,760 - £27,476 per annum (pro rata for part time) + £4,013 High Secure Allowance",https://www.healthjobsuk.com/job/UK/Nottinghamshire/Nr_Retford/Nottinghamshire_Healthcare_NHS_Foundation_Trust/Carer_Patient_Experience/Carer_Patient_Experience-v8260074,186-809-26-FS,2026-09-21,https://www.healthjobsuk.com/job/UK/Nottinghamshire/Nr_Retford/Nottinghamshire_Healthcare_NHS_Foundation_Trust/Carer_Patient_Experience/Carer_Patient_Experience-v8260074
Nottinghamshire Healthcare NHS Foundation Trust,NHS,Liaison & Diversion Team Manager,Management & Leadership,"Westminster House, Nottingham",Nottingham,2026-10-04,23:59,Permanent,Full-time,"£49,387 - £56,515 per annum pro rata",https://www.healthjobsuk.com/job/UK/Nottinghamshire/Nottingham/Nottinghamshire_Healthcare_NHS_Foundation_Trust/NursingAHPRNLDOT/NursingAHPRNLDOT-v8305312,186-711-26-FS-A,2026-09-21,https://www.healthjobsuk.com/job/UK/Nottinghamshire/Nottingham/Nottinghamshire_Healthcare_NHS_Foundation_Trust/NursingAHPRNLDOT/NursingAHPRNLDOT-v8305312
Redlands Primary and Nursery School,Education,Breakfast Club Supervisor,Children & Young People,"Redlands Primary and Nursery School, Worksop, S80 1TH",Bassetlaw,2026-09-23,,Other,Not stated,,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-1/brand-8/candidate/so/pm/4/pl/1/opp/31166-Breakfast-Club-Supervisor/en-GB,31166,2026-09-21,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-ext/brand-8/candidate/jobboard/vacancy/1/adv/
Redlands Primary and Nursery School,Education,Office Manager,Administration & Business Support,"Redlands Primary and Nursery School, Worksop",Bassetlaw,2026-09-24,,Other,Not stated,,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-1/brand-8/candidate/so/pm/4/pl/1/opp/31139-Office-Manager/en-GB,31139,2026-09-21,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-ext/brand-8/candidate/jobboard/vacancy/1/adv/
Rushcliffe Borough Council,Council,Housing Options Advisor (Homelessness Prevention and Housing Solutions),Housing & Homelessness,Rushcliffe,Rushcliffe,2026-10-04,,Other,Not stated,"£34,026 - £36,087 plus standby",https://www.rushcliffe.gov.uk/about-us/working-for-rbc/jobs/housing-options-advisor-september-2026/,,2026-09-21,https://www.rushcliffe.gov.uk/about-us/working-for-rbc/jobs/
Rushcliffe Borough Council,Council,Medical Waste Driver,Transport & Driving,Rushcliffe,Rushcliffe,2026-10-04,,Other,Not stated,"£29,505",https://www.rushcliffe.gov.uk/about-us/working-for-rbc/jobs/medical-waste-driver-sept-2026/,,2026-09-21,https://www.rushcliffe.gov.uk/about-us/working-for-rbc/jobs/
Rushcliffe Borough Council,Council,Solicitor,Legal & Governance,Rushcliffe,Rushcliffe,2026-10-04,,Other,Not stated,"£41,784 - £48,150",https://www.rushcliffe.gov.uk/about-us/working-for-rbc/jobs/solicitor-september-2026/,,2026-09-21,https://www.rushcliffe.gov.uk/about-us/working-for-rbc/jobs/
Rushcliffe Borough Council,Council,Technical Officer (Environmental Protection & Housing),"Planning, Environment & Regulatory",Rushcliffe,Rushcliffe,2026-10-04,,Other,Not stated,"£28,512 - £36,087",https://www.rushcliffe.gov.uk/about-us/working-for-rbc/jobs/technical-officer-september-2026/,,2026-09-21,https://www.rushcliffe.gov.uk/about-us/working-for-rbc/jobs/
Rushcliffe Borough Council,Council,Recycling Support Officer,"Planning, Environment & Regulatory",Rushcliffe,Rushcliffe,2026-10-05,,Other,Not stated,"£28,512 - £30,144",https://www.rushcliffe.gov.uk/about-us/working-for-rbc/jobs/recycling-support-officer-september-2026/,,2026-09-21,https://www.rushcliffe.gov.uk/about-us/working-for-rbc/jobs/
Samuel Barlow Primary Academy,Education,Higher Level Teaching Assistant,Education & Training,"Mansfield, Nottinghamshire, NG21 9DF",Mansfield,2026-09-25,23:59,Other,Full-time,"£26,482.04 Annually (Actual)",https://teaching-vacancies.service.gov.uk/jobs/higher-level-teaching-assistant-samuel-barlow-primary-academy,,2026-09-21,https://teaching-vacancies.service.gov.uk/jobs/higher-level-teaching-assistant-samuel-barlow-primary-academy
Samuel Barlow Primary Academy,Education,Teaching Assistant,Education & Training,"Mansfield, Nottinghamshire, NG21 9DF",Mansfield,2026-09-25,23:59,Other,Full-time,"£22,569.72 Annually (Actual)",https://teaching-vacancies.service.gov.uk/jobs/teaching-assistant-ac5ba34b-2a62-405a-ac43-150f99c07263,,2026-09-21,https://teaching-vacancies.service.gov.uk/jobs/teaching-assistant-ac5ba34b-2a62-405a-ac43-150f99c07263
Samuel Barlow Primary Academy,Education,Teacher,Education & Training,"Mansfield, Nottinghamshire, NG21 9DF",Mansfield,2026-09-30,23:59,Other,Full-time,"£36,041.00 - £46,937.00 Annually (Actual)",https://teaching-vacancies.service.gov.uk/jobs/teacher-6b13ee96-a72c-4923-bfdf-259e4c103666,,2026-09-21,https://teaching-vacancies.service.gov.uk/jobs/teacher-6b13ee96-a72c-4923-bfdf-259e4c103666
Sherwood Forest Hospitals NHS Foundation Trust,NHS,Highly Specialised Cardiac Physiologist,Health & Clinical,"King's Mill Hospital, Sutton-in-Ashfield",Ashfield,2026-09-24,23:59,Permanent,Full-time,"£49,387 - £56,515 per annum",https://www.healthjobsuk.com/job/UK/Nottinghamshire/SuttonInAshfield/Sherwood_Forest_Hospitals_NHS_Foundation_Trust/Cardiac_Physiologist/Cardiac_Physiologist-v8286362,214-MED-7696503-B,2026-09-21,https://www.healthjobsuk.com/job/UK/Nottinghamshire/SuttonInAshfield/Sherwood_Forest_Hospitals_NHS_Foundation_Trust/Cardiac_Physiologist/Cardiac_Physiologist-v8286362
Sherwood Forest Hospitals NHS Foundation Trust,NHS,Matron - Acute Medicine,Management & Leadership,"King's Mill Hospital, Sutton-in-Ashfield",Ashfield,2026-09-24,23:59,Permanent,Full-time,"£57,528 - £64,750 per annum",https://www.healthjobsuk.com/job/UK/Nottinghamshire/SuttonInAshfield/Sherwood_Forest_Hospitals_NHS_Foundation_Trust/Urgent_Emergency_Care_Division/Urgent_Emergency_Care_Division-v8185587,214-UEC-8185587,2026-09-21,https://www.healthjobsuk.com/job/UK/Nottinghamshire/SuttonInAshfield/Sherwood_Forest_Hospitals_NHS_Foundation_Trust/Urgent_Emergency_Care_Division/Urgent_Emergency_Care_Division-v8185587
Sherwood Forest Hospitals NHS Foundation Trust,NHS,Charitable Funds and Treasury Accounting Officer,Finance & Procurement,"King's Mill Hospital, Sutton-in-Ashfield",Ashfield,2026-09-27,23:59,Permanent,Full-time,"£25,760 - £27,476 per annum",https://www.healthjobsuk.com/job/UK/Nottinghamshire/SuttoninAshfield/Sherwood_Forest_Hospitals_NHS_Foundation_Trust/Finance/Finance-v8245109,214-CEN-8245109,2026-09-21,https://www.healthjobsuk.com/job/UK/Nottinghamshire/SuttoninAshfield/Sherwood_Forest_Hospitals_NHS_Foundation_Trust/Finance/Finance-v8245109
Sherwood Forest Hospitals NHS Foundation Trust,NHS,Deputy Chief Operating Officer,Management & Leadership,"King's Mill Hospital, Sutton-in-Ashfield",Ashfield,2026-09-27,23:59,Fixed-term,Full-time,"£112,782 - £129,783 per annum",https://www.healthjobsuk.com/job/UK/Nottinghamshire/SuttoninAshfield/Sherwood_Forest_Hospitals_NHS_Foundation_Trust/Corporate_Operations/Corporate_Operations-v8295907,214-CEN-8295907,2026-09-21,https://www.healthjobsuk.com/job/UK/Nottinghamshire/SuttoninAshfield/Sherwood_Forest_Hospitals_NHS_Foundation_Trust/Corporate_Operations/Corporate_Operations-v8295907
Sherwood Forest Hospitals NHS Foundation Trust,NHS,Lower GI Straight to Test Support Worker,Care & Support,"King's Mill Hospital, Sutton in Ashfield",Ashfield,2026-09-27,23:59,Permanent,Full-time or Part-time,"£25,760 - £27,476 per annum pro rata",https://www.healthjobsuk.com/job/UK/Nottinghamshire/Sutton_Ashfield/Sherwood_Forest_Hospitals_NHS_Foundation_Trust/General_Surgery/General_Surgery-v8291470,214-SRG-8010397-A,2026-09-21,https://www.healthjobsuk.com/job/UK/Nottinghamshire/Sutton_Ashfield/Sherwood_Forest_Hospitals_NHS_Foundation_Trust/General_Surgery/General_Surgery-v8291470
Sherwood Forest Hospitals NHS Foundation Trust,NHS,Senior Estate Development Project Manager,"Property, Facilities & Operations","King's Mill Hospital, Sutton-in-Ashfield",Ashfield,2026-09-27,23:59,Permanent,Full-time,"£57,528 - £64,750 per annum",https://www.healthjobsuk.com/job/UK/Nottinghamshire/SuttonInAshfield/Sherwood_Forest_Hospitals_NHS_Foundation_Trust/Estates_Facilities_Capital_Estate_Development_Project_Manager/Estates_Facilities_Capital_Estate_Development_Project_Manager-v8247456,214-CEN-8247456,2026-09-21,https://www.healthjobsuk.com/job/UK/Nottinghamshire/SuttonInAshfield/Sherwood_Forest_Hospitals_NHS_Foundation_Trust/Estates_Facilities_Capital_Estate_Development_Project_Manager/Estates_Facilities_Capital_Estate_Development_Project_Manager-v8247456
Sherwood Forest Hospitals NHS Foundation Trust,NHS,Critical Care Outreach Nurse,Health & Clinical,"King's Mill Hospital, Sutton in Ashfield",Ashfield,2026-09-29,23:59,Permanent,Full-time,"£39,959 - £48,117 per annum",https://www.healthjobsuk.com/job/UK/Nottinghamshire/Sutton_Ashfield/Sherwood_Forest_Hospitals_NHS_Foundation_Trust/Intensive_Care/Intensive_Care-v8273155,214-SRG-8273155,2026-09-21,https://www.healthjobsuk.com/job/UK/Nottinghamshire/Sutton_Ashfield/Sherwood_Forest_Hospitals_NHS_Foundation_Trust/Intensive_Care/Intensive_Care-v8273155
Sherwood Forest Hospitals NHS Foundation Trust,NHS,Team Co-ordinator - Critical Care Unit,Health & Clinical,"King's Mill Hospital, Sutton in Ashfield",Ashfield,2026-09-29,23:59,Permanent,Full-time,"£39,959 - £48,117 per annum",https://www.healthjobsuk.com/job/UK/Nottinghamshire/Sutton_Ashfield/Sherwood_Forest_Hospitals_NHS_Foundation_Trust/Intensive_Care/Intensive_Care-v8260415,214-SRG-8260415,2026-09-21,https://www.healthjobsuk.com/job/UK/Nottinghamshire/Sutton_Ashfield/Sherwood_Forest_Hospitals_NHS_Foundation_Trust/Intensive_Care/Intensive_Care-v8260415
St Edmund's CofE Primary School,Education,KS2 Teacher,Education & Training,"St Edmund's CofE Primary School, Mansfield Woodhouse",Mansfield,2026-10-05,,Other,Not stated,,https://teaching-vacancies.service.gov.uk/jobs/ks2-teacher-st-edmund-s-cofe-c-primary-nursery-school,,2026-09-21,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-ext/brand-8/candidate/jobboard/vacancy/1/adv/
St Peters Junior School,Education,Teaching Assistant,Education & Training,"St Peters Junior School, Ruddington",Rushcliffe,2026-09-21,,Other,Not stated,,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-1/brand-8/candidate/so/pm/4/pl/1/opp/31112-Teaching-Assistant/en-GB,31112,2026-09-21,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-ext/brand-8/candidate/jobboard/vacancy/1/adv/
